codigo;titulo;autor;categoria;copiasTotales
1;Cien años de soledad;Gabriel García Márquez;Novela;3
2;El principito;Antoine de Saint-Exupéry;Infantil;5
3;1984;George Orwell;Ciencia ficción;2
4;Clean Code;Robert C. Martin;Tecnología;4
5;Introducción a los Algoritmos;Cormen, Leiserson, Rivest;Tecnología;2
6;La sombra del viento;Carlos Ruiz Zafón;Novela;3
7;Sapiens;Yuval Noah Harari;Historia;3
8;El alquimista;Paulo Coelho;Novela;4
9;Estructuras de Datos en Java;Frank Carrano;Tecnología;3
0;Rayuela;Julio Cortázar;Novela;2
